URI,Latitude (WGS-84),Longitude (WGS-84),Early BCE/CE,Late BCE/CE,Has type,Consists of,Vessel Form,Decorative Technique,Condition,Description
http://opencontext.org/subjects/4BE6A93A-4155-40E5-BA4C-73C15B180960,43.15314905,11.40118886,-700,-535,vessel,pottery,Form unspecified,Incised; Inscribed,"The main fragment is a join of three individual sherds.  Nine additional, incised sherds are also existent.  All sherds are broken on all sides.  The surfaces range from very well preserved to slightly worn and pitted.","Twelve individual fragments are existent, three of which have been joined to form the main body fragment.  The twelve shards preserve portions of the spout and body of an elaborately incised impasto vessel.  The main body fragment depicts four feline feet and legs as well as two taller hoofed or anthropoid feet and legs.  A double, incised ridge runs below these images, between which a running guilloche pattern has been inscribed.  Four other shards preserve additional portions of an upper register of guilloche and ridge.  The remaining fragments depict floral or geometric designs."
http://opencontext.org/subjects/3C33A62A-0A21-4C1B-B285-B9BB5AC83053,43.15300986,11.40126328,-700,-535,vessel,bucchero ware; Bucchero,Form unspecified,Incised; Letters; Inscribed,,
http://opencontext.org/subjects/878663FC-00F9-4974-5FA9-1F8100E40C28,43.15340115,11.40142678,-700,-535,vessel,bucchero ware; Bucchero,Form unspecified,Relief; Fluted; Molded,"Broken on three sides; glued from numerous sherds; preserves entire handle and section of rim and shoulder; slightly chipped, worn, and encrusted.","Fragment of large molded vessel with almost vertical broadly fluted rim (preserves four short curved sections) with horizontal thin ridge above bulging horizontal molded shoulder, and small section of body which is molded with a series of convex vertical bulges with rounded tops.  Handle is a flat vertical section (with relief on interior side) with a flat curving loop rising from bottom of shoulder to join with it below top - set perpendicular to loop is a thin flat section of clay with rounded edge which also joins with relief section at top.  Just below middle of handle is a thin strut, elliptical in section and joining loop and relief section.  Relief is slightly raised and rounded on top with figure of a potnia theron with oval face and long tresses with arms extending down, bent at elbows and turned in to grasp forepaws of two felines, one with each hand.  Felines seem to hang with stretched bodies and crossed hind legs, and panther-type faces facing outward; tails are curled up beween them.  Just below relief os a thick, vertical rounded ridge. See 19710561 for a similiar design."
http://opencontext.org/subjects/D245557D-7049-4C31-44AC-437F08CDCED1,43.15266921,11.40210472,-700,-535,vessel; bowl,pottery,Bowl,,"Restored from numerous fragments. Rim is chipped; body, base and stem are complete; foot is partial, badly warped.",Orangeware bowl has shallow walls and sharply bent lip of vertical profile on stem and high conical foot. Two additional fragments believed to belong also.
http://opencontext.org/subjects/0FD3EF41-92A8-497A-6D87-31AE8313F124,43.1533662,11.39945492,-700,-535,vessel; oinochoai; Oinochoe; oinochoe; Oenochoe,pottery,Oinochoe,Incised; Impressed; Painted,,
http://opencontext.org/subjects/EB8E7793-B237-432B-3412-2EB2EF587EA1,43.15337176,11.39945228,-700,-535,vessel; oinochoai; Oinochoe; oinochoe; Oenochoe,pottery,Oinochoe,,,
http://opencontext.org/subjects/4828E2C0-49F7-46A3-9D37-9346DB36B970,43.15349681,11.40185137,-700,-535,vessel,pottery,Form unspecified,Inscribed; Letters,"Two non-joining sherds.  One, restored from seven fragments is broken along all edges except the rim, which is chipped.  The other is broken along all edges.  Heavily worn and encrusted.","Fragments of an impasto pot with globular body and out-turned rim.  Six letters of an Etruscan inscription, two of them barely visible, are inscribed on the body of the larger sherd just below the lip."
http://opencontext.org/subjects/2CC0F946-95F0-4D40-7753-6C61D3A416CC,43.15337176,11.39945228,-700,-535,vessel; oinochoai; Oinochoe; oinochoe; Oenochoe,pottery,Oinochoe,,"This impasto oinochoe is conserved from numerous fragments.  Significant portions of the vessel are missing and have been restored in plaster.  The preserved portion of the vessel displays a complete handle and base, a nearly complete neck, and portions of the spout and body.  The surfaces of the vessel are heavily worn.  This vessel preserves seventeen associated but non-joining fragments.","Impasto oinochoe with a trefoil spout.  From the low ring base, the body flares outward to its widest diameter at the belly then tapers inward, approaching the neck, forming a rounded, spherical shape.  A wide, low-raised band encircles the vessel at the juncture between the neck and body.  From the band, the neck tapers in diameter as it approaches the spout.  At the juncture between the neck and spout, the lower spout flares upward in a trefoil form.  Nearly all of one lobe of the spout is missing.  The back of the spout consists of a broad, vertical plane, the upper edges of which display sharp protrusions at either side of the handle attachment.  From the attachment point to the spout, a double rope handle rises slightly before turning downward to a lower point of attachment at the upper shoulder.  The body of the vessel does not rest squarely on the ring base, causing the vessel to tilt slightly forward."
http://opencontext.org/subjects/C1DBC6C3-1565-460E-D936-2271FF13E616,43.15337176,11.39945228,-700,-535,vessel; oinochoai; Oinochoe; oinochoe; Oenochoe,pottery,Oinochoe,,,
http://opencontext.org/subjects/0741F14E-8AFF-4BB0-38A5-CEE6C4A17D8A,43.15277233,11.40189482,-700,-535,vessel,bucchero ware; Bucchero,Form unspecified,Inscribed,All surfaces are worn and encrusted with some pitting.,An irregularly shaped buccheroid vessel fragment preserves part of an inscription on its convex surface.
http://opencontext.org/subjects/D6514070-8C5C-4A9F-B81F-375ACCDABE7C,43.15258889,11.40211512,-700,-535,vessel,bucchero ware; Bucchero,Form unspecified,Impressed,Broken on three sides.  Preserves one finished edge and the attachment scar.  Partially burned black.,Bucchero strap handle fragment preserves three impressed lines of irregular width running longitudinally.  These lines terminate at the point of juncture with the vessel in a raised transverse border running perpendicular to the handle.
http://opencontext.org/subjects/CD847102-C231-444C-0179-D838FB77F5A1,43.15274307,11.40163051,-700,-535,vessel,bucchero ware; Bucchero,Form unspecified,Incised,"Restored from two fragments.  All surfaces are worn, pitted, scratched, and encrusted.","A strut fragment from a bucchero vessel, possibly a chalice, has a flat, finished, undecorated back surface and a semi-cylindrical front surface.  Just below the upper break surface is portion of a raised, horizontal band, 0.004 m in max. pres. width, set off with an incised line.  Down the center of the cylinder is a vertical line that curves slightly toward the bottom of the strut.  The vertical line is flanked on either side by parallel, incised, diagonal lines, creating chevrons spaced 0.002 m apart.  Along the proper left side of the cylinder is preserved portion of a flat ""wing"", 0.005 m in thickness, also incised with diagonal lines of the same orientation.  Near the bottom of the strut is another raised, horizontal band, beneath which the strut comes to a foot with a rounded edge, finished on bottom, though a portion is chipped off.  The bottom of the foot is slightly concave."
http://opencontext.org/subjects/42F3F996-018E-46EA-0604-CEA56ED58700,43.15262808,11.40185781,-700,-535,vessel,pottery,Form unspecified,Incised,Broken off on all four sides.,Impasto fragment is from the shoulder of a small globular pot. Part of the sharply everted lip is preserved and there are two parallel incised bands on the shoulder.
http://opencontext.org/subjects/B12B7B29-3CAE-4116-1CC7-08F8A2C3BDCD,43.15327287,11.40136811,-700,-535,vessel,bucchero ware; Bucchero,Form unspecified,Inscribed; Letters,Glued from two pieces; chipped; broken along all edges.,"Bucchero fragment in two pieces bearing an inscription of three letters: alpha, gamma, and ?"
http://opencontext.org/subjects/AC858CE5-2667-4993-BFD6-65B77A652475,43.15245854,11.40175032,-700,-535,vessel,pottery,Form unspecified,Impressed,"Surfaces well preserved, including the slip. Some pitting and scratching. No finished edges except for the rim of the pieces. Fragment A is assembled from five pieces and fragment B is assembled from three pieces","Both fragment assemblages belong to an open, slightly rounded vessel with an everted rim. Preserved are two knob handles in fragment A and one on fragment B. Fragment a also has an impressed hole which has been put into the clay at an angle."
http://opencontext.org/subjects/AF3090B0-301C-41A0-D290-3F616AC074EF,43.15352565,11.40178781,-700,-535,vessel; bowl,bucchero ware; Bucchero,Bowl,Incised; Relief,,
http://opencontext.org/subjects/0DC27E87-D9F1-45EA-6EF2-2A1A29090592,43.15339152,11.39958988,-700,-535,vessel,bucchero ware; Bucchero,Form unspecified,Incised; Impressed,"Fragment A assembled from seven fragments.  Fragment B assembled from two fragments.  Fragment C is a single fragment. Fragments B and C preserve a finished edge (rim).  All other edges unfinished.  Surfaces well preserved.  One other small, decorated fragment is associated with this piece.","Pieces are from the same vessel, possibly a small bowl, and related to each other without joining.  They also relate to, but do not join with 19930130.  Fragments B and C have a decoration of two parallel rows of hatch marks surrounding incised dots.  Two such patterns meet at approximately a 60 degree angle.  Between them there is a portion of a circle consisting of impressed circles.  Four complete circles and part of a fifth are preserved.  On the far edge of an adjoining sherd are two parallel rows of impressed triangles: seven preserved in one row and parts of six in a second row.  Fragments B and C preserve part of the parallel rows of hatch marks and impressed dots.  In both cases the design is near the rim of the vessel.  The profile indicates an open vessel, perhaps a bowl, with a rim that curves outward very slightly."
http://opencontext.org/subjects/491F6032-7136-4978-77B7-F9306F8D2CF1,43.15263719,11.40195616,-700,-535,vessel; alabastra; alabastron; Alabastron,pottery,Alabastron,Pierced,"Three-fifths of the lip is missing. bore complete; handle missing. Surface worn, retaining little slip.","Alabastron fragment consisting of wide flat circular lip, narrow and gently flaring body. Handle was transversely pierced and attached below lip. Circular bore narrows from lip to neck."
http://opencontext.org/subjects/5E172805-97E2-4B3A-0C08-6B6604FC2274,43.15272031,11.40145106,-700,-535,vessel; bowl,pottery,Bowl,Painted; Beveled,"The surface of the rim of the bowl is heavily chipped.  The overall surface is in relatively good condition, especially that of the exterior of the vessel, with only minor pitting and wear throughout.","The fragment preserves a nearly complete, shallow bowl.  The center of the base is slightly beveled, both on the exterior and interior faces.  A slightly bevelled rim circles the exterior of the base.  The walls then ascend from the base in a uniform thickness until the rim.  The rim is wide and flat and terminates in a rounded edge.  Slight vestiges of a brownish paint are visible on the exterior of the walls and exterior of the base."
http://opencontext.org/subjects/C9E7AB4E-D234-43AC-8E23-8733525EB17A,43.15275644,11.40207984,-700,-535,vessel; bowl,pottery,Bowl,,Half of bowl and base missing; surface worn.,Small Impasto bowl preserving a round everted lip and rounded wall. The base is broken off.
http://opencontext.org/subjects/387B594D-FA5E-440C-DBAA-CF1D3C6B6547,43.15337176,11.39945228,-700,-535,vessel,pottery,Form unspecified,,,
http://opencontext.org/subjects/645E197E-8FDC-444F-5B94-17FE43DE4519,43.15340492,11.40141561,-700,-535,vessel; dish,bucchero ware; Bucchero,Dish,Relief,Total of 60 sherds preserves much of base and walls of vessel.  Fragment A glued from 18 sherds and Fragment B a single sherd; all extremely worn and friable.,
http://opencontext.org/subjects/BE7B5A23-9893-43AD-1308-BD12BBFAB9E1,43.15300804,11.40125004,-700,-535,vessel,bucchero ware; Bucchero,Form unspecified,Incised; Letters; Inscribed,,
