URI,Latitude (WGS-84),Longitude (WGS-84),Early BCE/CE,Late BCE/CE,Item Category,Pottery Form,Group,Description
http://opencontext.org/subjects/FB532285-A703-48B2-0F9A-5D91B1FB304C,30.3287,35.4421,-200,360,Pottery,Chalice?,Cups/Chalices,"11. Chalice? Biconical bowl. Rim Diam. 9.5 cm. Base Diam. 4 cm. Height: 5.4 cm. Thickness: 3 mm. Light red 2.5YR 7/8 ware. Everted rim, thickened to the exterior with excised ridge on external thickness. Carinated body with concave upper body. Ring base, horizontally flattened bottom and angularly flattened exterior edge. Light red 2.5YR 6/6 slip on exterior. Light red 2.5YR 6/8 slip on upper body interior. Location: UT, Residential Quarter, Trench 94."
http://opencontext.org/subjects/5A2695BC-1BD6-4A35-7028-056DBD14DD18,30.3287,35.4421,-200,360,Pottery,Bowl,Gruppe 2,"Bowl, hemispherical. Rim Diam. 17 cm. Base Diam. 6.2 cm. Height: 7.4 cm. Medium coarse light red 2.5YR 7/6 ware with thick light gray 5YR 7/1 core. Ring base is flattened angularly on exterior. White slip band, approximately 2.5 cm wide, on exterior upper body. Rim Exterior fabric color 5YR7/6 reddish yellow. Location: UT, Residential Quarter, Trench 94. Cf., Oboda (Negev 1986, 563) Middle Nabataean, Southern Retaining Wall; Pella (Hendrix et al., 1996, 283)."
http://opencontext.org/subjects/143D6C9C-2092-43D1-5860-93F1AD59ED4D,30.3287,35.4421,-200,360,Pottery,Bowl,Gruppe 7,"Bowl. Rim Diam. 16.9 cm. Base Diam. 4.8 cm. Height: 4.9 cm. Thickness: 2 mm. Medium fine light red 2.5YR 7/8 ware. Self-same slip on interior and exterior. Pinkish white 5YR 8/2 slip on rim exterior. Simple rouletting on base underside creating a scalloped edge to foot. The smooth lower body seems to be trimmed. Rough area has sponge marks. Ring base cut from rounded base. Location: UT, Residential Quarter, Trench 94."
http://opencontext.org/subjects/2A699013-2353-439C-9840-4643D81B2A4E,30.3287,35.4421,-200,360,Pottery,Bowl,Gruppe 7,"Bowl. Rim Diam. 15.1 cm. Base Diam. 4.8 cm. Height: 4.7 cm. Thickness: 2 mm. Medium fine light red 2.5YR 7/8 ware. Self-same light red 2.5YR 7/6 slip on interior and exterior with white slip on rim exterior that is whiter than Munsell codes. Exterior upper body is rough while lower body is smooth. Base ring has been added. Incised circle 2.5 cm diameter on base exterior. Location: UT, Residential Quarter, Trench 94."
http://opencontext.org/subjects/997D1430-B258-4DF6-FB34-0D3B85A1154B,30.3287,35.4421,-200,360,Pottery,Bowl,Gruppe 7,"Bowl. Cat. No. 02-P-46. Diam. 17 cm. Light red 2.5YR 6/8 ware. Black/weak red 2.5YR 4/2 triangles and palmette wreath on the interior. Very pale brown 10YR 8/3 band on the rim exterior. Location: UT, Residential Quarter, Trench 94, Locus 54, Room 10. Sequence No. 89929. Cf., Khasna excavations."
http://opencontext.org/subjects/E4C57A5D-B43E-4B4F-E7D3-8A5DEB0F25F6,30.3287,35.4421,-200,360,Pottery,Bowl,Gruppe 7,"Bowl. Cat. No. 03-P-69. Diam. 23 cm. Thickness: 2 mm. Light red 2.5YR 6/8 ware with lime inclusions and thin gray core at base. Decorated with Phase 3b Nabataean motifs in black 5YR 4/3. White 2.5YR 7/4 slip on rim exterior. Location: UT, Residential Quarter, Trench 94."
http://opencontext.org/subjects/C0C857F5-935B-4B4C-19CE-41B0EBC8F834,30.3287,35.4421,-200,360,Pottery,Bowl,Gruppe 7,"Bowl. Cat. No. 02-P-63. Diam. 19 cm. Reddish yellow 5YR 5/8 ware. Decorated with Nabataean Phase 2c motifs in red 10R 4/6, including feather-myrtle wreaths and drips along interior rim edge. Very pale brown/white 10YR 8/2 slipped band on the rim exterior. Location: UT, Residential Quarter, Trench 94, Locus 75, Floor bedding Room 3. Sequence No. 94211. Cf., Khasna excavations."
http://opencontext.org/subjects/02B8E66D-C8F2-46A6-3155-BE45082A5BD7,30.3287,35.4421,-200,360,Pottery,Bowl,Gruppe 7,"Bowl. Rim Diam. 15.5 cm. Base Diam. 4.6 cm. Height: 4.7 cm. Thickness: 2.5 mm. Fine light red 2.5YR 6/8 ware. Very pale brown 10YR 8/3 slip on rim exterior to underside of carination. Incision on exterior body. Exterior sponged rough above line, but smooth below. Incision made after sponging. Location: UT, Residential Quarter, Trench 94."
http://opencontext.org/subjects/E3EC4F6C-B683-4C26-5AC9-04F798F614E5,30.3287,35.4421,-200,360,Pottery,Jug,Jugs,"23. Jug. Diam. 4.5-4.8 cm. Thickness: 2-3 mm. Light gray 5YR 7/1 ware. Exterior fabric color: pink 5YR8/4. Interior fabric color: gray 5YR6/1. Sloppily applied light reddish brown 2.5YR 6/4 slip on exterior and over rim top. Simple rouletting in 3 bands. Vertical strokes are 2 mm in length. Upper band composed of 7 lines and arranged to be offset from one another.  Lower band of rouletting composed of 4 lines of 2 mm long vertical strokes. Rows are offset from one another. Appears to be one roller. Middle band of 5 lines is so uneven in one place that it appears that the roller was moved across the vessel 4 times. One side of body is punched inwards slightly. Carination line on lower body where base attaches is not straight; perhaps created by shaving. Location: UT, Residential Quarter, Trench 94."
http://opencontext.org/subjects/D69229DB-33AA-481F-D9CF-BE48BF679A9E,30.3287,35.4421,-200,360,Pottery,Bowl,Gruppe 7,"Bowl. Diam. 22 cm. Thickness: 2 mm. Light red 2.5YR 6/8 ware. Self-same light red 2.5YR 7/8 exterior with pinkish white 2.5YR 8/2 band on rim. Location: UT, Great Cistern, Special Project 85, Locus 23. Sequence No. 85172. Cf., Schmid 657, Phase 3; North Ridge Tomb 2 (Bikai 2001, Fig. 9, 4-6), second half of CE first century."
